Epoch 031 | TrainLoss 0.2159 Acc 1.0000 | ValLoss 0.3913 Acc 0.8710 | Best 0.9032
Epoch 001 | TrainLoss 0.7582 Acc 0.5314 | ValLoss 0.7099 Acc 0.4839 | Best 0.4839
Epoch 002 | TrainLoss 0.5328 Acc 0.6914 | ValLoss 0.6310 Acc 0.6774 | Best 0.6774
Epoch 003 | TrainLoss 0.4734 Acc 0.8229 | ValLoss 0.6270 Acc 0.6452 | Best 0.6774
Epoch 004 | TrainLoss 0.3745 Acc 0.9143 | ValLoss 0.5238 Acc 0.7742 | Best 0.7742
Epoch 005 | TrainLoss 0.3412 Acc 0.9143 | ValLoss 0.5156 Acc 0.8387 | Best 0.8387
Epoch 006 | TrainLoss 0.2782 Acc 0.9714 | ValLoss 0.4358 Acc 0.8710 | Best 0.8710
Epoch 007 | TrainLoss 0.2778 Acc 0.9714 | ValLoss 0.5059 Acc 0.7742 | Best 0.8710
Epoch 008 | TrainLoss 0.2624 Acc 0.9829 | ValLoss 0.4326 Acc 0.8710 | Best 0.8710
Epoch 009 | TrainLoss 0.2346 Acc 1.0000 | ValLoss 0.4923 Acc 0.8065 | Best 0.8710
Epoch 010 | TrainLoss 0.2309 Acc 1.0000 | ValLoss 0.5147 Acc 0.8387 | Best 0.8710
Epoch 011 | TrainLoss 0.2198 Acc 1.0000 | ValLoss 0.4941 Acc 0.8387 | Best 0.8710
Epoch 012 | TrainLoss 0.2225 Acc 0.9943 | ValLoss 0.5259 Acc 0.8387 | Best 0.8710
Epoch 013 | TrainLoss 0.2173 Acc 1.0000 | ValLoss 0.5268 Acc 0.7742 | Best 0.8710
Epoch 014 | TrainLoss 0.2118 Acc 1.0000 | ValLoss 0.5441 Acc 0.8065 | Best 0.8710
Epoch 015 | TrainLoss 0.2101 Acc 1.0000 | ValLoss 0.4921 Acc 0.8387 | Best 0.8710
Epoch 016 | TrainLoss 0.2172 Acc 1.0000 | ValLoss 0.4810 Acc 0.8065 | Best 0.8710
Epoch 017 | TrainLoss 0.2134 Acc 1.0000 | ValLoss 0.5074 Acc 0.8065 | Best 0.8710
Epoch 018 | TrainLoss 0.2130 Acc 1.0000 | ValLoss 0.5413 Acc 0.8065 | Best 0.8710
Epoch 019 | TrainLoss 0.2062 Acc 1.0000 | ValLoss 0.4785 Acc 0.8065 | Best 0.8710
Epoch 020 | TrainLoss 0.2106 Acc 1.0000 | ValLoss 0.5307 Acc 0.8065 | Best 0.8710
Epoch 001 | TrainLoss 0.7636 Acc 0.5086 | ValLoss 0.6758 Acc 0.6129 | Best 0.6129
Epoch 002 | TrainLoss 0.5458 Acc 0.7886 | ValLoss 0.6425 Acc 0.6774 | Best 0.6774
Epoch 003 | TrainLoss 0.4678 Acc 0.8343 | ValLoss 0.6121 Acc 0.5806 | Best 0.6774
Epoch 004 | TrainLoss 0.3877 Acc 0.8800 | ValLoss 0.6107 Acc 0.6129 | Best 0.6774
Epoch 005 | TrainLoss 0.3214 Acc 0.9429 | ValLoss 0.5310 Acc 0.7742 | Best 0.7742
Epoch 006 | TrainLoss 0.3024 Acc 0.9486 | ValLoss 0.4528 Acc 0.8387 | Best 0.8387
Epoch 007 | TrainLoss 0.2703 Acc 0.9657 | ValLoss 0.5756 Acc 0.6774 | Best 0.8387
Epoch 008 | TrainLoss 0.2504 Acc 0.9886 | ValLoss 0.4725 Acc 0.8065 | Best 0.8387
Epoch 009 | TrainLoss 0.2340 Acc 1.0000 | ValLoss 0.4926 Acc 0.7419 | Best 0.8387
Epoch 001 | TrainLoss 1.8952 Acc 0.5314 | ValLoss 0.8020 Acc 0.5806 | Best 0.5806
Epoch 002 | TrainLoss 0.6417 Acc 0.6743 | ValLoss 0.6825 Acc 0.5161 | Best 0.5806
Epoch 003 | TrainLoss 0.5796 Acc 0.7371 | ValLoss 0.7318 Acc 0.5806 | Best 0.5806
Epoch 004 | TrainLoss 0.5249 Acc 0.7771 | ValLoss 0.6953 Acc 0.5806 | Best 0.5806
Epoch 005 | TrainLoss 0.4668 Acc 0.8286 | ValLoss 0.5596 Acc 0.7097 | Best 0.7097
Epoch 006 | TrainLoss 0.4625 Acc 0.8400 | ValLoss 0.5205 Acc 0.6452 | Best 0.7097
Epoch 007 | TrainLoss 0.4393 Acc 0.8800 | ValLoss 0.5336 Acc 0.7419 | Best 0.7419
Epoch 008 | TrainLoss 0.4164 Acc 0.8629 | ValLoss 0.4931 Acc 0.7419 | Best 0.7419
Epoch 009 | TrainLoss 0.3609 Acc 0.8914 | ValLoss 0.5095 Acc 0.7419 | Best 0.7419
Epoch 010 | TrainLoss 0.3381 Acc 0.9486 | ValLoss 0.4632 Acc 0.8065 | Best 0.8065
Epoch 011 | TrainLoss 0.2817 Acc 0.9657 | ValLoss 0.4187 Acc 0.8065 | Best 0.8065
Epoch 012 | TrainLoss 0.2544 Acc 0.9771 | ValLoss 0.4077 Acc 0.9032 | Best 0.9032
Epoch 013 | TrainLoss 0.2567 Acc 0.9886 | ValLoss 0.3874 Acc 0.9032 | Best 0.9032
Epoch 014 | TrainLoss 0.2571 Acc 0.9829 | ValLoss 0.4637 Acc 0.8065 | Best 0.9032
Epoch 015 | TrainLoss 0.2570 Acc 0.9714 | ValLoss 0.4091 Acc 0.8710 | Best 0.9032
Epoch 016 | TrainLoss 0.2394 Acc 0.9771 | ValLoss 0.3944 Acc 0.8710 | Best 0.9032
Epoch 017 | TrainLoss 0.2237 Acc 1.0000 | ValLoss 0.3895 Acc 0.8387 | Best 0.9032
Epoch 018 | TrainLoss 0.2321 Acc 0.9943 | ValLoss 0.3790 Acc 0.9032 | Best 0.9032
Epoch 019 | TrainLoss 0.2274 Acc 0.9943 | ValLoss 0.3829 Acc 0.8387 | Best 0.9032
Epoch 020 | TrainLoss 0.2247 Acc 1.0000 | ValLoss 0.3922 Acc 0.8710 | Best 0.9032
Epoch 021 | TrainLoss 0.2195 Acc 1.0000 | ValLoss 0.4246 Acc 0.8710 | Best 0.9032
Epoch 022 | TrainLoss 0.2222 Acc 1.0000 | ValLoss 0.4436 Acc 0.8387 | Best 0.9032
Epoch 023 | TrainLoss 0.2128 Acc 1.0000 | ValLoss 0.5188 Acc 0.7742 | Best 0.9032
Epoch 024 | TrainLoss 0.2151 Acc 1.0000 | ValLoss 0.4347 Acc 0.8065 | Best 0.9032
Epoch 025 | TrainLoss 0.2158 Acc 1.0000 | ValLoss 0.4177 Acc 0.8065 | Best 0.9032
Epoch 026 | TrainLoss 0.2182 Acc 0.9943 | ValLoss 0.4041 Acc 0.8065 | Best 0.9032
Epoch 001 | TrainLoss 0.7720 Acc 0.6286 | ValLoss 0.6614 Acc 0.6129 | Best 0.6129
Epoch 002 | TrainLoss 0.5660 Acc 0.7600 | ValLoss 0.6315 Acc 0.6452 | Best 0.6452
Epoch 003 | TrainLoss 0.4599 Acc 0.7886 | ValLoss 0.5955 Acc 0.6452 | Best 0.6452
Epoch 004 | TrainLoss 0.3865 Acc 0.8571 | ValLoss 0.5450 Acc 0.7419 | Best 0.7419
Epoch 005 | TrainLoss 0.3385 Acc 0.9200 | ValLoss 0.4535 Acc 0.8710 | Best 0.8710
Epoch 006 | TrainLoss 0.3230 Acc 0.9371 | ValLoss 0.4688 Acc 0.8710 | Best 0.8710
Epoch 007 | TrainLoss 0.2680 Acc 0.9771 | ValLoss 0.5080 Acc 0.8387 | Best 0.8710
Epoch 008 | TrainLoss 0.2534 Acc 0.9771 | ValLoss 0.5270 Acc 0.8065 | Best 0.8710
Epoch 009 | TrainLoss 0.2325 Acc 0.9943 | ValLoss 0.4799 Acc 0.8065 | Best 0.8710
Epoch 010 | TrainLoss 0.2276 Acc 1.0000 | ValLoss 0.4322 Acc 0.8710 | Best 0.8710
Epoch 011 | TrainLoss 0.2233 Acc 1.0000 | ValLoss 0.4549 Acc 0.8710 | Best 0.8710
Epoch 012 | TrainLoss 0.2227 Acc 1.0000 | ValLoss 0.4689 Acc 0.8710 | Best 0.8710
Epoch 013 | TrainLoss 0.2168 Acc 1.0000 | ValLoss 0.5446 Acc 0.8710 | Best 0.8710
Epoch 014 | TrainLoss 0.2142 Acc 1.0000 | ValLoss 0.5358 Acc 0.8387 | Best 0.8710
Epoch 015 | TrainLoss 0.2114 Acc 1.0000 | ValLoss 0.5690 Acc 0.7742 | Best 0.8710
Epoch 016 | TrainLoss 0.2144 Acc 1.0000 | ValLoss 0.5284 Acc 0.8387 | Best 0.8710
Epoch 017 | TrainLoss 0.2117 Acc 1.0000 | ValLoss 0.4738 Acc 0.9032 | Best 0.9032
